Number,Latitude,Longitude,Description,Year,type
1,40.785741,-73.963394,NYC,1980,Home
2,42.654162,-73.751221,Albany,2000,Away
3,41.836828,-71.422119,Providence,2000,Away
4,41.386855,-71.555672,Pt. Judith,2001,Away
5,42.334184,-71.081543,Boston,2003,Away
6,43.612217,-72.971191,Rutland,2022,Away
7,43.683764,-70.334473,"Portland, ME",2023,Away
8,44.37884,-68.299255,"Bar Harbor, ME",2018,Away
9,45.498647,-73.575439,Montreal,1993,Away
10,43.723475,-79.453125,Toronto,2024,Away
11,40.805494,-77.871094,State College,2015,Away
12,39.968701,-75.179443,Philadelphia,1987,Away
13,39.406489,-74.492798,Atlantic City,2000,Away
14,38.912407,-77.041626,"Washington, DC",2021,Away
15,33.760882,-84.396973,Atlanta,1996,Away
16,33.456651,-81.990967,Augusta,1998,Away
17,32.810362,-79.93103,Charleston,2023,Away
18,33.728908,-78.903809,Myrtle Beach,2007,Away
19,30.349176,-81.661377,,,Away
20,28.560401,-81.359253,Orlando,2019,Away
21,27.955591,-82.479858,Tampa,2017,Away
22,25.819672,-80.244141,Miami,2017,Away
23,13.891411,-60.985107,,2020,Away
24,18.338721,-64.91684,St. Thomas,2016,Away
25,18.434016,-64.58931,St. John,2016,Away
26,10.487812,-88.330078,,,Away
27,16.370215,-86.451416,,,Away
28,29.42046,-98.514404,San Antonio,2003,Away
29,30.306503,-97.723389,Austin,2003,Away
30,27.76133,-97.382812,Corpus Christie,2003,Away
31,41.95132,-87.692871,Chicago,2015,Away
32,43.165123,-77.629395,Rochester,2022,Away
33,42.904136,-78.826904,Buffalo,2020,Away
34,43.060861,-76.14624,Syracuse,2003,Away
35,39.795876,-104.985352,Denver,2011,Away
36,39.478606,-106.086731,Breckenridge,2022,Away
37,39.641653,-106.383362,Vail,2011,Away
38,38.939651,-119.96933,Lake Tahoe,2023,Away
39,36.137875,-115.213623,Las Vegas,2007,Away
40,38.427774,-122.695313,Santa Rosa,2011,Away
41,37.778313,-122.43576,San Fransisco,2011,Away
42,34.452218,-119.663086,Santa Barbara,2023,Away
43,34.048108,-117.193909,Redlands,2017,Away
44,43.492783,-110.813599,Jackson,2018,Away
45,51.454007,-0.131836,London,2019,Away
46,38.68551,-9.18457,Lisbon,2024,Away
47,36.164488,-5.372314,Gibraltar,2024,Away
48,36.747688,-4.416504,Malaga,2024,Away
49,36.589068,-4.888916,Marbella,2024,Away
50,37.177826,-3.614502,Granada,2024,Away
51,36.75429,-5.169067,Rhonda,2024,Away
52,41.409776,2.175293,Barcelona,2019,Away
53,39.571822,2.702637,Palma,2019,Away
54,51.937492,4.416504,Rotterdam,2019,Away
55,52.378953,4.850464,Amsterdam,2019,Away
56,-16.846605,145.722656,Cairnes,2000,Away
57,-19.207429,146.821289,Townsville,2000,Away
58,-27.391278,152.929688,Brisbane,2000,Away
59,-33.797409,151.149902,Sydney,2000,Away
60,-42.884015,147.337646,Hobart,2000,Away
